snapped_at,price,market_cap,total_volume
2019-09-03 00:00:00 UTC,0.4698740613078643,2326649.8590256264,28107.71514543535
2019-09-04 00:00:00 UTC,0.45441991792228636,2198435.0932785533,66466.5735462666
2019-09-05 00:00:00 UTC,0.44851403211715996,2131127.468520876,77028.39329405635
2019-09-06 00:00:00 UTC,0.5215239467632993,2433961.1602961696,111431.24703559667
2019-09-07 00:00:00 UTC,0.45886009061305433,2104969.2018386894,94760.0860831228
2019-09-08 00:00:00 UTC,0.4633452288290112,2087279.9440826762,20881.12263910299
2019-09-09 00:00:00 UTC,0.4782609367422105,2117977.252853395,12824.179882446377
2019-09-10 00:00:00 UTC,0.4793950568718482,2084373.851278745,56482.089263098336
2019-09-11 00:00:00 UTC,0.48168628284757836,2057975.7387250317,43387.224397981015
2019-09-12 00:00:00 UTC,0.43149819443499926,1810546.6309487484,61130.03965441701
2019-09-13 00:00:00 UTC,0.4014714470721078,1650271.1947926695,84822.78890899617
2019-09-14 00:00:00 UTC,0.39860881263014486,1606079.0082114672,40141.75302775329
2019-09-15 00:00:00 UTC,0.3917517466990832,1547892.8611925945,34339.798832789565
2019-09-16 00:00:00 UTC,0.39031383007104614,1511122.279079623,70214.10849976378
2019-09-17 00:00:00 UTC,0.3996982622853878,1515915.7046658439,10653.574366815319
2019-09-18 00:00:00 UTC,0.3937848017744139,1464153.0833718576,33700.070659232406
2019-09-19 00:00:00 UTC,0.40519835968437906,1477287.05017812,35069.48892687534
2019-09-20 00:00:00 UTC,0.4615036560505082,1649336.8054630135,32318.586441731284
2019-09-21 00:00:00 UTC,0.4742665148666232,1665217.3678782945,36328.25796845918
2019-09-22 00:00:00 UTC,0.44631934286595565,1539234.8223156296,7720.507162688858
2019-09-23 00:00:00 UTC,0.4359738976587023,1475056.9325592066,3245.4592936169092
2019-09-24 00:00:00 UTC,0.3979948453862449,1329569.764245527,62530.25415703124
2019-09-25 00:00:00 UTC,0.3848632212748242,1263782.3453379625,69353.69617580867
2019-09-26 00:00:00 UTC,0.3835602971593844,1222528.7871612944,49407.07980811999
2019-09-27 00:00:00 UTC,0.38116532074407516,1210117.071750358,32450.654600291575
2019-09-28 00:00:00 UTC,0.386483030710242,1203579.7800326643,16715.76010689953
2019-09-29 00:00:00 UTC,0.3781174754432398,1149024.23601231,35970.47047719808
2019-09-30 00:00:00 UTC,0.37586511878205175,1122277.5605319107,27496.14476607397
